ZONE T="boundary0"
-4 -0.295811 
-4 -0.353702 
-4 -0.237921 
-4 0.376469 
-4 0.320521 
-4 0.829118 
-4 0.658235 
-4 -0.0669845 
-4 -0.414548 
-4 -0.56867 
-4 0.283866 
-4 0.0180448 
-4 -1 
-4 -0.830973 
-4 1 
-4 -0.475394 
-4 0.247212 
-4 0.210958 
-4 -0.152014 
-4 -0.109499 
-4 0.102197 
-4 -0.661945 
-4 0.432417 
-4 0.545326 
-4 0.174704 
-4 0.13845 
-4 -0.324756 
-4 -0.266866 
-4 0.348495 
-4 0.743676 
-4 -0.444971 
-4 -0.384125 
-4 0.265539 
-4 0.302194 
-4 -0.194967 
-4 -0.0244698 
-4 0.0601207 
-4 -0.615307 
-4 -0.522032 
-4 0.404443 
-4 0.488872 
-4 -0.915486 
-4 -0.746459 
-4 0.192831 
-4 0.229085 
-4 0.120324 
-4 0.156577 
-4 -0.130756 
-4 -0.0882418 
-4 0.601781 
-4 0.914559 
ZONE T="boundary1"
1.43585 1 
1.32819 1 
2.04983 1 
2.26072 1 
1.88132 1 
1.71282 1 
1.12326 1 
1.02599 1 
-1.40087 1 
0.311822 1 
0.0355826 1 
-1.15006 1 
-1.26888 1 
-0.800245 1 
-0.118637 1 
-0.187938 1 
0.419628 1 
-1.53287 1 
-1.87036 1 
-1.70161 1 
-2.0147 1 
-2.15904 1 
0.776372 1 
-2.70445 1 
2.93505 1 
3.35272 1 
-3.82014 1 
-4 1 
-3.38058 1 
-3.25073 1 
-2.29539 1 
2.47162 1 
-3.12087 1 
-0.25724 1 
-0.508801 1 
0.103073 1 
0.241193 1 
0.170564 1 
-0.0415271 1 
-0.426096 1 
-0.591506 1 
0.651904 1 
0.527435 1 
-0.695875 1 
-0.915742 1 
4 1 
3.67636 1 
-1.33487 1 
0.901183 1 
-1.03124 1 
1.22053 1 
1.57433 1 
2.70333 1 
-2.43175 1 
-3.64028 1 
-0.341668 1 
-0.643691 1 
1.38202 1 
2.15527 1 
1.79707 1 
1.07463 1 
-1.20947 1 
-0.153288 1 
0.365725 1 
-1.46687 1 
-1.78599 1 
-2.08687 1 
3.14388 1 
-3.91007 1 
2.36617 1 
-2.91266 1 
0.069328 1 
0.136819 1 
-0.080082 1 
0.276507 1 
0.205879 1 
-0.550154 1 
-0.467448 1 
0.589669 1 
-0.857993 1 
-0.222589 1 
3.83818 1 
-1.36787 1 
-1.61724 1 
0.473532 1 
0.714138 1 
0.838778 1 
-1.30188 1 
-0.97349 1 
3.51454 1 
1.27436 1 
-1.94253 1 
2.81919 1 
1.96557 1 
2.58747 1 
-2.5681 1 
-3.51043 1 
-0.00297228 1 
-0.299454 1 
-0.383882 1 
-0.74806 1 
-0.669783 1 
-0.617598 1 
-1.09065 1 
1.64357 1 
-2.22722 1 
1.1719 1 
0.963588 1 
1.50509 1 
-3.31565 1 
-3.1858 1 
-2.36357 1 
-3.73021 1 
ZONE T="boundary2"
4 -0.384229 
4 -0.280023 
4 -0.57938 
4 -0.506276 
4 -0.181288 
4 -0.230656 
4 0.33448 
4 0.480196 
4 -0.109816 
4 0.617312 
4 0.150699 
4 0.19341 
4 -0.0383442 
4 -0.826242 
4 -1 
4 -0.332126 
4 -0.652485 
4 0.390128 
4 0.712984 
4 0.107989 
4 0.278831 
4 0.236121 
4 1 
4 0.808656 
4 0.0348222 
4 0.0714054 
4 -0.542828 
4 -0.205972 
4 -0.145552 
4 0.548754 
4 0.172055 
4 -0.0740802 
4 -0.306075 
4 -0.445252 
4 -0.615933 
4 0.435162 
4 0.257476 
4 0.362304 
4 0.306656 
4 -0.913121 
4 -0.739364 
4 0.904328 
4 -0.255339 
4 -0.358177 
4 0.214765 
4 0.129344 
4 0.0531138 
4 -0.00176102 
4 0.089697 
4 0.76082 
4 0.665148 
ZONE T="boundary3"
-3.61483 -1 
-0.272004 -1 
-0.720829 -1 
-0.603823 -1 
0.115808 -1 
0.549303 -1 
-4 -1 
-0.402049 -1 
0.181678 -1 
-1.66775 -1 
-1.47612 -1 
-0.502936 -1 
-3.42225 -1 
-3.22966 -1 
1.89645 -1 
3.79259 -1 
4 -1 
-2.64751 -1 
-2.37902 -1 
3.58519 -1 
-3.07283 -1 
2.49743 -1 
3.37778 -1 
3.00214 -1 
3.17038 -1 
2.28817 -1 
-1.94632 -1 
0.247547 -1 
0.378306 -1 
0.312927 -1 
-0.0694554 -1 
0.0595164 -1 
0.00322517 -1 
0.463804 -1 
-0.142136 -1 
0.701906 -1 
0.78187 -1 
0.861833 -1 
-0.837835 -1 
1.47769 -1 
1.28111 -1 
2.07891 -1 
1.02176 -1 
1.15144 -1 
-0.951985 -1 
-1.22322 -1 
-1.06614 -1 
-1.34967 -1 
-1.80704 -1 
0.941796 -1 
1.71399 -1 
-2.916 -1 
2.66567 -1 
2.8339 -1 
-0.662326 -1 
-3.80742 -1 
-0.337026 -1 
0.148743 -1 
-1.57194 -1 
-0.452492 -1 
-3.32595 -1 
3.8963 -1 
-2.51326 -1 
-3.15125 -1 
3.08626 -1 
-2.16267 -1 
0.214612 -1 
0.345617 -1 
0.087662 -1 
0.421055 -1 
0.506554 -1 
-0.20707 -1 
0.625604 -1 
0.821851 -1 
-0.553379 -1 
-0.779332 -1 
3.48148 -1 
3.68889 -1 
1.3794 -1 
1.98768 -1 
1.0866 -1 
3.27408 -1 
-1.14468 -1 
-1.28645 -1 
-1.7374 -1 
-0.89491 -1 
1.59584 -1 
1.80522 -1 
2.18354 -1 
-3.51854 -1 
-2.99442 -1 
-0.105796 -1 
0.0313708 -1 
-0.0331151 -1 
0.280237 -1 
0.981778 -1 
0.901815 -1 
0.741888 -1 
2.58155 -1 
-1.00906 -1 
2.91802 -1 
2.3928 -1 
2.74979 -1 
1.21628 -1 
-2.78176 -1 
-1.4129 -1 
-1.87668 -1 
ZONE T="boundary4"
-0.620515 0.0248361 
-0.620248 0.094437 
-0.621805 0.0709744 
-0.18996 0.514363 
-0.621885 0.0477566 
0.63117 0.0553184 
0.636296 0.0410645 
0.640548 0.0266273 
-0.423978 0.4251 
-0.382145 0.452517 
-0.360195 0.464593 
0.41713 0.255755 
0.395895 0.267797 
-0.16428 0.515839 
-0.138206 0.515804 
-0.514348 0.340003 
-0.498028 0.358751 
-0.290176 0.493897 
-0.265821 0.501086 
-0.6172 0.118053 
-0.61267 0.14171 
0.648208 -0.0176928 
0.646499 -0.00281677 
-0.603009 0.177537 
-0.608273 0.159573 
-0.590036 0.213315 
-0.58276 0.230243 
-0.574885 0.246887 
-0.596883 0.195566 
-0.565662 0.264586 
-0.31418 0.485342 
-0.443753 0.409875 
-0.462702 0.393717 
-0.543635 0.300809 
-0.403476 0.4393 
-0.337431 0.475599 
-0.555708 0.281874 
-0.530074 0.319978 
-0.240831 0.506957 
0.438178 0.243602 
-0.112284 0.514238 
-0.215652 0.511374 
-0.0601816 0.506462 
-0.0343405 0.5003 
-0.0863706 0.511146 
-0.480803 0.376664 
0.49395 0.209324 
0.466324 0.226817 
0.350097 0.293503 
0.373054 0.280617 
0.293855 0.325877 
0.174333 0.400123 
0.0171096 0.483489 
0.0431859 0.472711 
-0.00858067 0.492634 
0.12075 0.43271 
0.0946894 0.447331 
0.0688932 0.460683 
0.203059 0.381959 
0.321989 0.30948 
0.600164 0.112271 
0.643948 0.0119848 
0.625262 0.0691439 
0.61478 0.0894496 
0.649105 -0.0327464 
0.517724 0.192889 
0.562024 0.156147 
0.540599 0.175191 
0.147629 0.416687 
0.581927 0.135328 
0.262796 0.344567 
0.231802 0.363796 
-0.62121 0.0827189 
-0.621381 0.0362862 
0.633838 0.04823 
-0.371247 0.458699 
0.406524 0.261791 
-0.151243 0.516015 
-0.506304 0.349479 
-0.278048 0.497662 
-0.615113 0.129916 
0.647457 -0.0102424 
-0.605738 0.168584 
-0.578897 0.238601 
-0.586475 0.221812 
-0.60004 0.186584 
-0.570364 0.255785 
-0.302235 0.489786 
-0.453327 0.401914 
-0.392894 0.446047 
