ZONE T="boundary0"
-4 -0.743138 
-4 -0.271827 
-4 -0.31197 
-4 0.0650924 
-4 0.470519 
-4 0.416389 
-4 0.829843 
-4 0.659687 
-4 -0.0051839 
-4 -0.151398 
-4 -0.231684 
-4 0.565103 
-4 -0.399123 
-4 -0.486275 
-4 0.135369 
-4 0.232349 
-4 -1 
-4 -0.614706 
-4 1 
-4 0.297305 
-4 0.183859 
-4 0.36226 
-4 -0.291898 
-4 0.744765 
-4 -0.0782907 
-4 -0.191541 
-4 0.517811 
-4 -0.355546 
-4 -0.251755 
-4 -0.442699 
-4 0.0299542 
-4 0.100231 
-4 -0.871569 
-4 -0.550491 
-4 0.914922 
-4 0.612395 
-4 0.208104 
-4 0.329782 
-4 0.443454 
-4 0.389325 
-4 0.159614 
-4 -0.678922 
-4 0.264827 
ZONE T="boundary1"
-1.3988 1 
-1.5168 1 
0.200703 1 
0.134629 1 
0.0685545 1 
0.00403571 1 
-0.659667 1 
-0.733056 1 
0.346213 1 
1.0435 1 
0.96693 1 
-3.3558 1 
-3.6779 1 
2.46553 1 
2.2544 1 
-3.20769 1 
4 1 
3.05603 1 
3.22144 1 
-2.55171 1 
-2.35141 1 
1.12008 1 
1.72648 1 
1.85846 1 
3.84671 1 
-0.186213 1 
-0.255454 1 
0.273458 1 
-0.0604831 1 
0.523712 1 
-0.409347 1 
-0.493999 1 
-0.586277 1 
-0.123348 1 
-0.879836 1 
-1.07951 1 
-0.979671 1 
0.739606 1 
0.631659 1 
-1.2808 1 
0.853268 1 
-1.80925 1 
-4 1 
3.69343 1 
3.54014 1 
3.38686 1 
2.86635 1 
1.27323 1 
1.36736 1 
-3.05959 1 
1.99044 1 
-1.98018 1 
-2.15112 1 
1.59398 1 
1.46148 1 
-0.324695 1 
-2.67868 1 
-2.80565 1 
2.67667 1 
-1.4578 1 
0.167666 1 
0.0362951 1 
1.00522 1 
-3.51685 1 
2.35997 1 
3.13873 1 
-2.45156 1 
1.79247 1 
-0.220834 1 
0.309835 1 
0.101592 1 
-0.0282237 1 
0.237081 1 
0.434962 1 
-0.540138 1 
-0.696362 1 
-0.451673 1 
-0.806446 1 
-0.622972 1 
0.685633 1 
0.577686 1 
-1.18015 1 
-0.929753 1 
0.910099 1 
0.796437 1 
-1.02959 1 
-1.3398 1 
-1.66302 1 
3.92336 1 
3.61679 1 
-3.83895 1 
3.77007 1 
3.4635 1 
2.96119 1 
1.19665 1 
1.32029 1 
-3.13364 1 
2.12242 1 
1.92445 1 
-2.06565 1 
-1.89472 1 
1.66023 1 
1.52773 1 
3.30415 1 
-3.28175 1 
-0.290075 1 
-0.367021 1 
-0.0919156 1 
-0.154781 1 
-2.25127 1 
1.08179 1 
-2.93262 1 
-2.74216 1 
2.77151 1 
-2.6152 1 
1.41442 1 
2.5711 1 
ZONE T="boundary2"
4 -0.359602 
4 -0.197498 
4 0.289589 
4 0.235087 
4 0.180585 
4 0.12259 
4 0.0645947 
4 -0.69273 
4 -0.846365 
4 0.779888 
4 1 
4 -1 
4 -0.225952 
4 0.343995 
4 0.398402 
4 0.479089 
4 0.559776 
4 -0.132313 
4 -0.0671278 
4 -0.407888 
4 -0.50446 
4 -0.254407 
4 -0.164905 
4 -0.311316 
4 -0.282861 
4 0.669832 
4 0.262338 
4 0.207836 
4 0.151587 
4 -0.769548 
4 0.889944 
4 -0.211725 
4 0.371199 
4 0.519432 
4 0.0935922 
4 -0.0997203 
4 -0.456174 
4 -0.383745 
4 -0.598595 
4 -0.923183 
4 -0.240179 
4 -0.181201 
4 -0.297089 
4 -0.335459 
4 0.316792 
4 0.438746 
4 -0.00126655 
4 0.614804 
4 0.72486 
4 -0.148609 
4 -0.268634 
ZONE T="boundary3"
-3.41021 -1 
-1.69327 -1 
-1.24143 -1 
-0.27563 -1 
-1.15142 -1 
-1.06142 -1 
-0.492146 -1 
0.498185 -1 
0.910171 -1 
-0.0203595 -1 
-0.210102 -1 
-1.44298 -1 
1.06556 -1 
1.28696 -1 
1.3526 -1 
1.41824 -1 
1.79124 -1 
-3.04682 -1 
-2.86274 -1 
3.41044 -1 
2.9088 -1 
3.06136 -1 
3.21392 -1 
4 -1 
3.60696 -1 
0.207002 -1 
-0.383888 -1 
-0.144573 -1 
-0.0824664 -1 
0.0436319 -1 
0.107623 -1 
0.368427 -1 
0.430473 -1 
0.834952 -1 
1.17626 -1 
0.565896 -1 
0.306381 -1 
-0.733614 -1 
1.48388 -1 
1.54952 -1 
-0.635998 -1 
-0.564072 -1 
-4 -1 
-0.831231 -1 
0.759733 -1 
1.93498 -1 
2.07872 -1 
2.3412 -1 
2.60369 -1 
-3.70511 -1 
-0.946324 -1 
-1.85867 -1 
-3.22852 -1 
-2.67867 -1 
-2.37939 -1 
-2.20173 -1 
-2.02407 -1 
-2.52903 -1 
-3.55766 -1 
-1.10642 -1 
-1.19643 -1 
-0.242866 -1 
-1.3422 -1 
1.38542 -1 
-2.95478 -1 
3.13764 -1 
3.80348 -1 
2.98508 -1 
-0.329759 -1 
-0.177337 -1 
-0.0514129 -1 
0.0756276 -1 
-0.11352 -1 
0.39945 -1 
0.872561 -1 
1.12091 -1 
0.987867 -1 
0.53204 -1 
0.337404 -1 
1.23161 -1 
1.5167 -1 
1.45106 -1 
-0.600035 -1 
-0.782423 -1 
0.662815 -1 
1.67038 -1 
1.86311 -1 
2.20996 -1 
2.75624 -1 
-3.85255 -1 
-1.56812 -1 
-1.77597 -1 
2.47244 -1 
-3.31936 -1 
-1.00387 -1 
-2.77071 -1 
-2.29056 -1 
-1.94137 -1 
-3.13767 -1 
3.5087 -1 
3.31218 -1 
0.256691 -1 
0.464329 -1 
0.157313 -1 
0.797342 -1 
-0.438017 -1 
-0.528109 -1 
0.0116362 -1 
1.31978 -1 
-2.60385 -1 
-2.45421 -1 
-3.63138 -1 
-3.48394 -1 
2.00685 -1 
-0.684806 -1 
-0.888777 -1 
-2.1129 -1 
ZONE T="boundary4"
-0.236459 0.534447 
-0.212425 0.541894 
0.480836 0.168708 
0.504274 0.152371 
-0.570035 0.235499 
-0.258727 0.526428 
-0.188157 0.548162 
0.45311 0.187075 
-0.339238 0.48785 
-0.607718 0.0292665 
-0.609011 0.0480892 
0.365279 0.251513 
0.379984 0.239159 
0.425307 0.205625 
-0.391381 0.453762 
-0.374531 0.465662 
-0.40892 0.440385 
